序号,学校名称,地区,院校类型,学科等级,学院/校区名称,专业代码,专业名称,考试科目组合,是否11408,2026改考,备注
41,山东大学,山东,985,A-,计算机科学与技术学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
42,中国海洋大学,山东,985,-,信息科学与工程学部,081200,计算机技术,101+201+301+408,是,否,
43,哈尔滨工业大学,黑龙江,985,A,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
44,吉林大学,吉林,985,B+,计算机科学与技术学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
45,吉林大学,吉林,985,B+,人工智能学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
46,吉林大学,吉林,985,B+,软件学院,083500,软件工程,101+201+301+408,是,是,2026改考408
47,东北大学,辽宁,985,B+,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
48,大连理工大学,辽宁,985,B+,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
49,兰州大学,甘肃,985,B+,信息科学与工程学院,081200,计算机科学与技术,101+201+301+408,是,否,
50,重庆大学,重庆,985,B+,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
51,厦门大学,福建,985,B+,信息学院,081200,计算机科学与技术,101+201+301+408,需确认,否,
52,西北农林科技大学,陕西,985,-,信息工程学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
53,北京邮电大学,北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
54,北京交通大学,北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
55,北京科技大学,北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
56,北京工业大学,北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
57,华北电力大学,北京,211,-,控制与计算机工程学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
58,中国矿业大学(北京),北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
59,中国地质大学(北京),北京,211,-,信息工程学院,081200,计算机科学与技术,101+201+301+408,是,否,
60,上海大学,上海,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
61,华东理工大学,上海,211,-,信息学院,081200,计算机科学与技术,101+201+301+408,是,否,
62,苏州大学,江苏,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
63,南京航空航天大学,江苏,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
64,中国矿业大学,江苏,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
65,河海大学,江苏,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
66,江南大学,江苏,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
67,武汉理工大学,湖北,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
68,华中师范大学,湖北,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
69,华中农业大学,湖北,211,-,信息学院,081200,计算机科学与技术,101+201+301+408,是,否,
70,中国地质大学(武汉),湖北,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
71,华南师范大学,广东,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
72,暨南大学,广东,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
73,西南交通大学,四川,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
74,西南财经大学,四川,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
75,中国石油大学(华东),山东,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
76,郑州大学,河南,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
77,安徽大学,安徽,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
78,福州大学,福建,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
79,南昌大学,江西,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
80,河北工业大学,河北,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
81,辽宁大学,辽宁,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
82,大连海事大学,辽宁,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
83,广西大学,广西,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
84,贵州大学,贵州,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
85,云南大学,云南,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
86,海南大学,海南,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
87,新疆大学,新疆,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
88,石河子大学,新疆,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
89,内蒙古大学,内蒙古,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
90,太原理工大学,山西,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
91,宁夏大学,宁夏,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
92,青海大学,青海,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
93,西藏大学,西藏,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
94,深圳大学,广东,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,就业好
95,燕山大学,河北,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
96,浙江工业大学,浙江,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
97,广东工业大学,广东,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
98,成都理工大学,四川,双一流,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
99,湘潭大学,湖南,双一流,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
100,宁波大学,浙江,双一流,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
101,河南大学,河南,双一流,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
102,华南农业大学,广东,双一流,-,数学与信息学院,081200,计算机科学与技术,101+201+301+408,是,否,
103,天津工业大学,天津,双一流,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
104,西南石油大学,四川,双一流,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
105,上海科技大学,上海,双非,-,信息学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
106,南方科技大学,广东,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
107,中国科学院大学,北京,科研院所,-,多个研究所,081200,计算机科学与技术,101+201+301+408,是,否,
108,江苏大学,江苏,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
109,扬州大学,江苏,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
110,长安大学,陕西,211,-,信息工程学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
111,上海电力大学,上海,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
112,西安电子科技大学,陕西,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
113,南京邮电大学,江苏,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
114,南京邮电大学,江苏,双非,-,软件学院,083500,软件工程,101+201+301+408,是,是,2026改考408
115,南京邮电大学,江苏,双非,-,网络空间安全学院,083900,网络空间安全,101+201+301+408,是,是,2026改考408
116,杭州电子科技大学,浙江,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
117,南京信息工程大学,江苏,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
118,山东师范大学,山东,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
119,齐鲁工业大学,山东,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
120,桂林电子科技大学,广西,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,IT行业认可度较高
