序号,学校名称,地区,院校类型,学科等级,学院名称,专业代码,是否11408,2026改考,备注
51,中国矿业大学(北京),北京,211,-,计算机学院,081200,是,否,
52,中国地质大学(北京),北京,211,-,信息工程学院,081200,是,否,
53,上海大学,上海,211,-,计算机学院,081200,是,否,
54,华东理工大学,上海,211,-,信息学院,081200,是,否,
55,苏州大学,江苏,211,-,计算机学院,081200,是,否,
56,南京航空航天大学,江苏,211,-,计算机学院,081200,是,否,
57,中国矿业大学,江苏,211,-,计算机学院,081200,是,否,
58,河海大学,江苏,211,-,计算机学院,081200,是,否,
59,江南大学,江苏,211,-,计算机学院,081200,是,是,2026改考408
60,武汉理工大学,湖北,211,-,计算机学院,081200,是,否,
61,华中师范大学,湖北,211,-,计算机学院,081200,是,否,
62,华中农业大学,湖北,211,-,信息学院,081200,是,否,
63,中国地质大学(武汉),湖北,211,-,计算机学院,081200,是,否,
64,华南师范大学,广东,211,-,计算机学院,081200,是,否,
65,暨南大学,广东,211,-,计算机学院,081200,是,否,
66,西南交通大学,四川,211,-,计算机学院,081200,是,否,
67,西南财经大学,四川,211,-,计算机学院,081200,是,否,
68,中国石油大学(华东),山东,211,-,计算机学院,081200,部分,否,部分自命题
69,郑州大学,河南,211,-,计算机学院,081200,是,否,
70,安徽大学,安徽,211,-,计算机学院,081200,是,否,
71,福州大学,福建,211,-,计算机学院,081200,是,否,
72,南昌大学,江西,211,-,计算机学院,081200,是,否,
73,河北工业大学,河北,211,-,计算机学院,081200,是,否,
74,辽宁大学,辽宁,211,-,计算机学院,081200,是,否,
75,大连海事大学,辽宁,211,-,计算机学院,081200,是,否,
76,广西大学,广西,211,-,计算机学院,081200,是,否,
77,贵州大学,贵州,211,-,计算机学院,081200,是,否,
78,云南大学,云南,211,-,计算机学院,081200,是,否,
79,海南大学,海南,211,-,计算机学院,081200,是,否,
80,新疆大学,新疆,211,-,计算机学院,081200,是,否,
81,石河子大学,新疆,211,-,计算机学院,081200,是,否,
82,内蒙古大学,内蒙古,211,-,计算机学院,081200,是,否,
83,太原理工大学,山西,211,-,计算机学院,081200,是,否,
84,宁夏大学,宁夏,211,-,计算机学院,081200,是,否,
85,青海大学,青海,211,-,计算机学院,081200,是,否,
86,西藏大学,西藏,211,-,计算机学院,081200,是,否,
87,深圳大学,广东,双非,-,计算机学院,081200,是,否,就业好
88,燕山大学,河北,双非,-,计算机学院,081200,是,否,
89,浙江工业大学,浙江,双非,-,计算机学院,081200,是,否,
90,广东工业大学,广东,双非,-,计算机学院,081200,是,否,
91,成都理工大学,四川,双一流,-,计算机学院,081200,是,否,
92,湘潭大学,湖南,双一流,-,计算机学院,081200,是,否,
93,宁波大学,浙江,双一流,-,计算机学院,081200,是,否,
94,河南大学,河南,双一流,-,计算机学院,081200,是,否,
95,华南农业大学,广东,双一流,-,数学与信息学院,081200,是,否,
96,天津工业大学,天津,双一流,-,计算机学院,081200,是,否,
97,西南石油大学,四川,双一流,-,计算机学院,081200,是,是,2026改考408
98,上海科技大学,上海,双非,-,信息学院,081200,是,是,2026改考408
99,南方科技大学,广东,双非,-,计算机学院,081200,是,否,
100,中国科学院大学,北京,科研院所,-,多个研究所,081200,是,否,
101,江苏大学,江苏,双非,-,计算机学院,081200,是,是,2026改考408
102,扬州大学,江苏,双非,-,计算机学院,081200,是,否,
